City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
322,Borogontsy,RU,62.6683,131.1683,-28.32,100,99,1.01,overcast clouds
323,Vale,GE,41.6156,42.8722,44.26,64,7,1.74,clear sky
324,Russellville,US,35.2784,-93.1338,67.84,89,90,11.5,mist
325,Kirakira,SB,-10.4544,161.9205,80.44,86,100,12.3,light rain
326,Predivinsk,RU,57.0669,93.4378,33.19,91,100,11.16,light snow
327,Tibu,CO,8.639,-72.7358,72.05,98,100,1.41,overcast clouds
328,Guozhen,CN,34.3659,107.359,52.97,32,100,7.05,overcast clouds
329,Ust-Maya,RU,60.4167,134.5333,-18.72,99,100,0.67,overcast clouds
330,Puerto Quijarro,BO,-17.7833,-57.7667,71.58,97,100,3.29,overcast clouds
331,Bethel,US,41.3712,-73.414,52.38,89,90,8.05,mist
332,Yilan,TW,24.757,121.753,71.37,99,82,6.55,broken clouds
333,Cesky Dub,CZ,50.6605,14.9962,34.57,86,100,6.49,overcast clouds
334,Viedma,AR,-40.8135,-62.9967,62.78,42,0,9.24,clear sky
335,Aasiaat,GL,68.7098,-52.8699,18.63,74,99,7.25,overcast clouds
336,Searcy,US,35.2506,-91.7363,68.72,90,90,10.0,overcast clouds
337,Acapulco,MX,16.8634,-99.8901,76.82,94,20,4.61,few clouds
338,Toyooka,JP,35.5333,134.8333,47.89,77,100,1.5,overcast clouds
339,Lasa,IT,46.6166,10.7002,28.62,93,72,6.38,broken clouds
340,Ambanja,MG,-13.6833,48.45,88.39,53,13,5.44,few clouds
341,La Plata,AR,-34.9215,-57.9545,65.97,86,19,6.17,few clouds
342,Grand Gaube,MU,-20.0064,57.6608,84.6,62,19,10.0,light rain
343,Lorengau,PG,-2.0226,147.2712,78.73,94,100,10.85,moderate rain
344,Lusambo,CD,-4.9667,23.45,80.28,65,100,1.59,overcast clouds
345,Moshi,TZ,-3.35,37.3333,80.37,48,80,6.15,broken clouds
346,Giyani,ZA,-23.3025,30.7187,81.64,55,86,7.02,overcast clouds
347,Dombarovskiy,RU,50.7587,59.5386,28.22,91,81,6.62,broken clouds
348,Providencia,MX,28.7167,-111.5833,62.65,49,0,5.95,clear sky
349,Poum,NC,-20.2333,164.0167,82.0,76,5,13.91,clear sky
350,Pingzhuang,CN,42.0372,119.2889,32.27,41,0,7.85,clear sky
351,Naryan-Mar,RU,67.6713,53.087,22.8,91,100,21.41,overcast clouds
352,Ca Mau,VN,9.1769,105.15,85.66,57,25,7.25,scattered clouds
353,Laguna,US,38.421,-121.4238,48.42,95,1,0.0,mist
