City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
614,Jonesboro,US,66.04,overcast clouds,35.8423,-90.7043,Hilton Garden Inn Jonesboro
615,Bani,DO,75.85,few clouds,18.2833,-70.3333,Hospedaje Henriquez
616,Zirandaro,MX,73.78,overcast clouds,18.45,-100.9833,Hotel Pineda
618,Ugoofaaru,MV,82.49,clear sky,5.6667,73.0,Ungoofaaru Inn
620,Sorong,ID,84.22,heavy intensity rain,-0.8833,131.25,Waigo Splash Hotel
623,Banfora,BF,77.99,broken clouds,10.6333,-4.7667,Residences David Hebié
626,Paracuru,BR,81.1,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
628,Carmen,MX,74.82,clear sky,18.6333,-91.8333,Hotel Lossandes
631,Hualmay,PE,64.54,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
632,Carlos Chagas,BR,69.89,overcast clouds,-17.7031,-40.7664,Minas Hotel
633,Tukrah,LY,62.46,clear sky,32.5341,20.5791,Lagrota restaurant
635,Janauba,BR,66.69,clear sky,-15.8025,-43.3089,Ouro Norte Palace Hotel
636,Upington,ZA,67.12,clear sky,-28.4478,21.2561,River Place Manor
638,Kapit,MY,75.52,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
641,Quchan,IR,51.01,overcast clouds,37.106,58.5095,گلیم دستبافت کیمیایی
643,Minas,UY,64.87,clear sky,-34.3759,-55.2377,Hotel Minas
645,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
646,Puerto Vallarta,MX,71.91,overcast clouds,20.6204,-105.2307,Sheraton Buganvilias Resort & Convention Center
649,Oshawa,CA,44.06,mist,43.9001,-78.8496,Travelodge by Wyndham Oshawa Whitby
652,Santiago De Cao,PE,64.38,overcast clouds,-7.9589,-79.2392,Villa Konecta - Casa de vacaciones
653,Luganville,VU,79.47,few clouds,-15.5333,167.1667,The Espiritu Hotel
657,Trelew,AR,65.23,clear sky,-43.249,-65.3051,Hotel Touring Club
658,Piacabucu,BR,75.54,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
662,Asfi,MA,54.18,clear sky,32.2994,-9.2372,Hôtel Abda
